c_fd_code,c_report_date,c_bd_code,c_bd_type,c_style,c_notice_date,c_bd_inner_code,c_bd_name,c_hold_num,c_hold_value,c_nav_ratio,c_is_stat
000201,2025-06-30,102480674,1,02,2025-08-29,1003751376,24诚通控股MTN007A,200000.000000,21573350.140000,15.640000,-1
000201,2025-06-30,102483017,1,05,2025-07-21,1003881060,24中石油MTN002,200000.000000,21015732.600000,15.230000,-1
000201,2025-06-30,102483017,1,02,2025-08-29,1003881060,24中石油MTN002,200000.000000,21015732.600000,15.230000,-1
000201,2025-06-30,102483276,1,05,2025-07-21,1003893609,24中石化MTN001,200000.000000,20720942.470000,15.020000,-1
000201,2025-06-30,102483276,1,02,2025-08-29,1003893609,24中石化MTN001,200000.000000,20720942.470000,15.020000,-1
000201,2025-06-30,102581378,1,05,2025-07-21,1004178015,25电网MTN015,200000.000000,20466521.640000,14.840000,-1
000201,2025-06-30,102581378,1,02,2025-08-29,1004178015,25电网MTN015,200000.000000,20466521.640000,14.840000,-1
000201,2025-06-30,102501315,1,05,2025-07-21,1004206572,25华润MTN001B,200000.000000,20159894.790000,14.610000,-1
000201,2025-06-30,102501315,1,02,2025-08-29,1004206572,25华润MTN001B,200000.000000,20159894.790000,14.610000,-1
000203,2025-12-31,112508346,1,06,2026-01-22,1004433238,25中信银行CD346,3000000.000000,299643619.030000,3.310000,-1
000203,2025-12-31,112505433,1,06,2026-01-22,1004507698,25建设银行CD433,3000000.000000,299002698.710000,3.300000,-1
000203,2025-12-31,112510267,1,06,2026-01-22,1004495325,25兴业银行CD267,3000000.000000,299110904.100000,3.300000,-1
000203,2025-12-31,212380027,1,06,2026-01-22,1003656366,23华夏银行债05,2000000.000000,202719839.930000,2.240000,-1
000203,2025-12-31,250206,1,06,2026-01-22,1004187568,25国开06,2000000.000000,202314972.420000,2.230000,-1
000203,2025-12-31,112502281,1,06,2026-01-22,1004505494,25工商银行CD281,2000000.000000,199345443.770000,2.200000,-1
000203,2025-12-31,112505357,1,06,2026-01-22,1004374855,25建设银行CD357,2000000.000000,198636401.340000,2.190000,-1
000203,2025-12-31,112510265,1,06,2026-01-22,1004492480,25兴业银行CD265,2000000.000000,198634328.140000,2.190000,-1
000203,2025-12-31,112518278,1,06,2026-01-22,1004460966,25华夏银行CD278,2000000.000000,198831158.070000,2.190000,-1
000203,2025-12-31,112520283,1,06,2026-01-22,1004429410,25广发银行CD283,2000000.000000,198985632.100000,2.190000,-1
000203,2025-09-30,112505261,1,03,2025-10-28,1004284823,25建设银行CD261,3000000.000000,298948194.030000,3.530000,-1
000203,2025-09-30,112510213,1,03,2025-10-28,1004396595,25兴业银行CD213,3000000.000000,298900275.140000,3.530000,-1
000203,2025-09-30,112505379,1,03,2025-10-28,1004393377,25建设银行CD379,2000000.000000,199284684.850000,2.360000,-1
000203,2025-09-30,112506126,1,03,2025-10-28,1004251562,25交通银行CD126,2000000.000000,199493378.400000,2.360000,-1
000203,2025-09-30,112508176,1,03,2025-10-28,1004282847,25中信银行CD176,2000000.000000,199307678.190000,2.360000,-1
000203,2025-09-30,112403278,1,03,2025-10-28,1004069569,24农业银行CD278,2000000.000000,199163822.950000,2.350000,-1
000203,2025-09-30,112506182,1,03,2025-10-28,1004334708,25交通银行CD182,2000000.000000,198878483.690000,2.350000,-1
000203,2025-09-30,112505193,1,03,2025-10-28,1004221962,25建设银行CD193,2000000.000000,198012294.170000,2.340000,-1
000203,2025-09-30,112514149,1,03,2025-10-28,1004349723,25江苏银行CD149,2000000.000000,197968005.800000,2.340000,-1
000203,2025-09-30,250206,1,03,2025-10-28,1004187568,25国开06,1500000.000000,151155867.680000,1.790000,-1
000203,2025-06-30,112505261,1,05,2025-07-21,1004284823,25建设银行CD261,3000000.000000,297727953.120000,4.000000,-1
000203,2025-06-30,112505261,1,02,2025-08-29,1004284823,25建设银行CD261,3000000.000000,297727953.120000,4.000000,-1
